Teacher,Rank,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10
Dr. Anjali Mehta,Assistant Professor,1,1,0,1,1,0,1,0,1,1,0
Dr. Rohan Sharma,Assistant Professor,0,1,1,0,1,1,0,1,1,0,1
Dr. Priya Nair,Assistant Professor,1,0,1,1,0,1,1,0,1,1,1
Dr. Vikram Patel,Assistant Professor,1,1,1,0,1,0,1,1,0,1,1
Prof. Sunita Rao,Associate Professor,0,1,0,1,1,1,0,1,0,1,0
Prof. Anil Kumar,Associate Professor,1,0,1,1,0,1,1,0,1,0,1
Prof. Deepa Iyer,Associate Professor,1,1,0,0,1,1,1,1,0,1,1
Dr. Rajan Gupta,Assistant Professor,0,1,1,1,0,0,1,1,1,0,1
Dr. Meena Joshi,Assistant Professor,1,0,1,0,1,1,0,1,1,1,0
Dr. Sanjay Bose,Professor,1,1,0,1,0,1,1,0,0,1,1
Dr. Kavya Reddy,Assistant Professor,1,0,1,1,1,0,0,1,1,0,1
Dr. Arjun Singh,Assistant Professor,0,1,1,1,0,1,0,1,0,1,1
Dr. Pooja Verma,Assistant Professor,1,1,0,1,0,1,1,1,0,0,1
Dr. Suresh Menon,Assistant Professor,0,0,1,1,1,1,1,0,1,1,0
Dr. Nisha Kapoor,Assistant Professor,1,1,1,0,0,1,0,1,1,1,0
Dr. Rahul Tiwari,Assistant Professor,1,0,0,1,1,0,1,1,1,0,1
Prof. Geeta Sharma,Associate Professor,0,1,1,0,1,1,0,0,1,1,1
Prof. Mahesh Yadav,Associate Professor,1,1,0,1,1,0,1,0,1,1,0
Prof. Smita Desai,Associate Professor,1,0,1,0,1,1,1,1,0,1,0
Prof. Kiran Pillai,Associate Professor,0,1,0,1,0,1,1,1,1,0,1
Prof. Rajesh Nambiar,Assistant Professor,1,1,1,1,0,0,1,0,1,0,1
Dr. Nalini Krishnan,Assistant Professor,0,1,1,0,1,0,1,1,0,1,1
Dr. Prakash Dubey,Professor,1,0,0,1,1,1,0,1,1,0,1
Dr. Uma Shankar,Assistant Professor,1,1,1,0,0,1,1,0,1,1,0
Dr. Ashok Trivedi,Assistant Professor,0,1,0,1,1,0,1,1,0,1,1
